Time [s],CH1 [V]
8.000000e-07,1.880000000000,
8.000000e-07,1.880000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.880000000000,
8.000000e-07,1.840000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.880000000000,
8.000000e-07,1.960000000000,
8.000000e-07,1.880000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.960000000000,
8.000000e-07,1.960000000000,
8.000000e-07,1.880000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.960000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.960000000000,
8.000000e-07,2.000000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.960000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.960000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.040000000000,
8.000000e-07,1.920000000000,
8.000000e-07,1.920000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.000000000000,
8.000000e-07,2.000000000000,
8.000000e-07,2.000000000000,
8.000000e-07,2.000000000000,
8.000000e-07,1.960000000000,
8.000000e-07,2.000000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.000000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.080000000000,
8.000000e-07,2.000000000000,
8.000000e-07,2.000000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.080000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.080000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.080000000000,
8.000000e-07,2.040000000000,
8.000000e-07,2.080000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.080000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.080000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.200000000000,
8.000000e-07,2.200000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.120000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.160000000000,
8.000000e-07,2.200000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.200000000000,
8.000000e-07,2.200000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.200000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.200000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.280000000000,
8.000000e-07,2.280000000000,
8.000000e-07,2.280000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.240000000000,
8.000000e-07,2.280000000000,
8.000000e-07,2.320000000000,
8.000000e-07,2.360000000000,
8.000000e-07,2.320000000000,
8.000000e-07,2.240000000000,
